ELE_Austria
6184
6184
5881
5298
5245
5172
5318
5243
5200
5629
5744
6126
6338
5812
6103
5422
5241
5204
5360
5209
5283
5747
5890
6100
6237
5652
5839
5360
5362
5152
5409
5180
5364
5690
5693
6072
6340
5857
6044
5395
5334
5260
5450
5294
5371
5666
5843
6067
6397
5888
6067
5361
5324
5317
5360
5229
5341
5777
6097
6372
6487
5574
5701
5137
5091
5002
5128
5101
5205
5417
5829
6045
6113
5784
6143
5088
5128
5105
5155
5158
5080
5501
5748
6077
6392
5574
5766
5246
5356
5028
5239
5108
5130
5510
5692
5970
6191
5637
5536
4554
4749
4716
5016
4985
5071
5570
5654
5949
6062
5417
5838
5292
5200
5140
5239
5125
5138
5535
5889
6194
6241
5572
5889
5255
5068
4960
5001
4924
4961
5021
5395
5789
5787
5240
5440
4909
4739
4527
4623
4649
4624
4963
5420
5690
